                                                 7,1 | 0,5        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 0,0 | 9,0        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (4,Q)4,Q | (K,A)1,A   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (A,A)2,9 | (K,A)1,K   = TIE        | (BET) BANKER_WIN
                                            (8,2)0,4 | (3,A)4,J   = TIE        | (BET) BANKER_WIN
                                                 0,8 | 0,5        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                           (10,2)2,3 | 4,3        = BANKER_WIN | (BET) PLAYER_WIN
                                                 3,4 | (J,K)0,4   = PLAYER_WIN | (BET) BANKER_WIN
                                                 5,2 | 9,0        = BANKER_WIN | (BET) PLAYER_WIN
                                                 0,6 | 0,8        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (K,J)0,7 | (2,Q)2,K   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 0,8 | 6,7        = PLAYER_WIN | (BET) BANKER_WIN
                                                 9,0 | 0,4        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (5,7)2,6 | 0,6        = PLAYER_WIN | (BET) TIE       
                                            (6,8)4,5 | 2,4        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                           (Q,10)0,3 | (7,6)3,10  = TIE        | (BET) PLAYER_WIN
                                           (5,10)5,8 | 3,0        = TIE        | (BET) PLAYER_WIN
                                            (J,A)1,6 | (4,K)4,2   = PLAYER_WIN | (BET) BANKER_WIN
                                            (5,9)4,7 | (5,8)3,8   = TIE        | (BET) PLAYER_WIN
                                           (J,10)0,8 | 0,0        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 9,0 | 7,1        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 0,8 | 3,1        = PLAYER_WIN | (BET) BANKER_WIN
                                            (2,A)3,2 | (K,10)0,3  = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (4,9)3,5 | 7,0        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 7,0 | (4,7)1,3   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (A,3)4,K | 4,1        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                           (9,2)1,10 | (J,J)0,2   = BANKER_WIN | (BET) PLAYER_WIN
                                                 9,0 | 1,3        = PLAYER_WIN | (BET) BANKER_WIN
                                           (J,10)0,Q | (5,6)1,6   = BANKER_WIN | (BET) PLAYER_WIN
                                            (7,4)1,A | 5,0        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 0,3 | 7,2        = BANKER_WIN | (BET) PLAYER_WIN
                                                 0,6 | (K,10)0,7  = BANKER_WIN | (BET) PLAYER_WIN
                                                 2,9 | 1,8        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (8,5)3,4 | (5,J)5,9   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (Q,5)5,6 | (K,4)4,10  = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                           (J,10)0,4 | (4,K)4,A   = BANKER_WIN | (BET) TIE       
                                                 5,1 | (6,8)4,6   = PLAYER_WIN | (BET) BANKER_WIN
                                                 5,2 | (5,K)5,6   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                     卡用完了，重新初始化!
                                            (Q,Q)0,8 | 6,0        = PLAYER_WIN | (BET) BANKER_WIN
                                                 0,8 | 2,0        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 9,0 | 4,0        = PLAYER_WIN | (BET) BANKER_WIN
                                            (Q,Q)0,7 | (A,2)3,10  = PLAYER_WIN | (BET) BANKER_WIN
                                            (9,5)4,K | 3,1        = TIE        | (BET) BANKER_WIN
                                           (A,10)1,A | (7,7)4,6   = PLAYER_WIN | (BET) BANKER_WIN
                                            (7,4)1,2 | (Q,A)1,J   = PLAYER_WIN | (BET) BANKER_WIN
                                            (8,7)5,9 | 4,0        = TIE        | (BET) PLAYER_WIN
                                            (J,A)1,Q | 4,0        = BANKER_WIN | (BET) TIE       
                                                 1,5 | (10,10)0,7 = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 0,9 | 4,0        = PLAYER_WIN | (BET) BANKER_WIN
                                            (4,7)1,8 | 6,8        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                           (10,A)1,A | 8,9        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 0,5 | 7,2        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 0,0 | 2,7        = BANKER_WIN | (BET) PLAYER_WIN
                                            (4,Q)4,A | 7,8        = TIE        | (BET) TIE        (HIT)
                                                 8,0 | 3,8        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (J,A)1,4 | (J,A)1,A   = PLAYER_WIN | (BET) BANKER_WIN
                                          (4,10)4,10 | 7,0        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (A,Q)1,2 | (J,A)1,K   = PLAYER_WIN | (BET) BANKER_WIN
                                            (Q,A)1,2 | (3,10)3,6  = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (2,2)4,3 | 8,9        = TIE        | (BET) TIE        (HIT)
                                                 0,8 | 2,5        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 8,3 | 0,9        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 6,9 | 0,8        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 8,0 | 2,0        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                           (10,4)4,9 | 4,2        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 5,3 | 1,0        = PLAYER_WIN | (BET) BANKER_WIN
                                                 0,6 | (7,3)0,Q   = PLAYER_WIN | (BET) BANKER_WIN
                                            (9,5)4,2 | (3,7)0,3   = PLAYER_WIN | (BET) BANKER_WIN
                                           (8,4)2,10 | (A,2)3,5   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 7,0 | 9,0        = BANKER_WIN | (BET) PLAYER_WIN
                                                 9,8 | (7,5)2,5   = TIE        | (BET) BANKER_WIN
                                            (5,9)4,K | 6,9        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 6,0 | (K,A)1,9   = PLAYER_WIN | (BET) BANKER_WIN
                                                 6,0 | (10,K)0,2  = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (7,8)5,8 | 4,0        = BANKER_WIN | (BET) TIE       
                                            (K,5)5,6 | (9,A)0,A   = TIE        | (BET) PLAYER_WIN
                                                 0,6 | (4,7)1,Q   = PLAYER_WIN | (BET) BANKER_WIN
                                            (3,J)3,8 | 3,4        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                           (3,7)0,10 | (8,2)0,2   = BANKER_WIN | (BET) PLAYER_WIN
                                                 3,6 | 0,0        = PLAYER_WIN | (BET) BANKER_WIN
                                                 7,0 | 0,6        = PLAYER_WIN | (BET) BANKER_WIN
                                            (K,A)1,J | (3,J)3,J   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (8,2)0,3 | (K,4)4,9   = TIE        | (BET) PLAYER_WIN
                                            (Q,5)5,2 | (9,5)4,7   = PLAYER_WIN | (BET) BANKER_WIN
                                                 5,1 | (3,9)2,7   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                           (2,10)2,6 | 6,8        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 4,3 | (8,4)2,J   = PLAYER_WIN | (BET) TIE       
                                            (7,6)3,7 | (5,5)0,7   = BANKER_WIN | (BET) PLAYER_WIN
                                                 6,0 | 6,0        = TIE        | (BET) BANKER_WIN
                                            (9,4)3,5 | 6,0        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                           (10,3)3,K | 3,3        = BANKER_WIN | (BET) PLAYER_WIN
                                           (10,3)3,7 | (3,10)3,5  = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 6,9 | 4,4        = BANKER_WIN | (BET) PLAYER_WIN
                                                 5,9 | 3,6        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 9,0 | 1,3        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (4,Q)4,Q | 3,4        = BANKER_WIN | (BET) PLAYER_WIN
                                            (K,4)4,Q | (A,Q)1,8   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 0,0 | 5,3        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 0,7 | (7,3)0,3   = PLAYER_WIN | (BET) BANKER_WIN
                                                 1,8 | 0,5        = PLAYER_WIN | (BET) TIE       
                                            (6,7)3,5 | 0,3        = PLAYER_WIN | (BET) BANKER_WIN
                                                 3,6 | 0,2        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (2,J)2,6 | 5,6        = PLAYER_WIN | (BET) BANKER_WIN
                                            (J,J)0,K | (6,6)2,6   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 0,9 | 0,7        = PLAYER_WIN | (BET) BANKER_WIN
                                            (4,K)4,8 | 2,5        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 0,6 | (2,8)0,K   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 0,6 | (4,10)4,Q  = PLAYER_WIN | (BET) BANKER_WIN
                                                 7,2 | 8,5        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (5,9)4,5 | 0,1        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                           (5,10)5,7 | (10,Q)0,2  = TIE        | (BET) BANKER_WIN
                                                 8,0 | 5,0        = PLAYER_WIN | (BET) TIE       
                                            (K,J)0,2 | (10,J)0,K  = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 0,9 | 1,4        = PLAYER_WIN | (BET) BANKER_WIN
                                                 0,6 | (8,6)4,A   = PLAYER_WIN | (BET) BANKER_WIN
                                            (4,9)3,A | (2,9)1,Q   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 5,2 | 7,0        = TIE        | (BET) PLAYER_WIN
                                            (J,4)4,8 | 9,6        = BANKER_WIN | (BET) TIE       
                                            (K,A)1,5 | (J,A)1,9   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (Q,2)2,J | 4,0        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (K,5)5,4 | 9,2        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 9,2 | 0,8        = BANKER_WIN | (BET) PLAYER_WIN
                                           (3,10)3,J | 4,3        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                     卡用完了，重新初始化!
                                                 0,9 | 6,8        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (A,J)1,2 | (K,3)3,10  = TIE        | (BET) PLAYER_WIN
                                            (J,3)3,A | 0,5        = BANKER_WIN | (BET) PLAYER_WIN
                                                 9,0 | 2,3        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (5,J)5,6 | (Q,K)0,A   = TIE        | (BET) TIE        (HIT)
                                                 0,8 | 0,7        = PLAYER_WIN | (BET) BANKER_WIN
                                                 1,2 | 8,0        = BANKER_WIN | (BET) PLAYER_WIN
                                                 0,7 | 1,5        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                           (K,10)0,Q | (Q,J)0,6   = BANKER_WIN | (BET) PLAYER_WIN
                                                 3,4 | 0,6        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 9,9 | 6,5        = PLAYER_WIN | (BET) TIE       
                                                 0,0 | 0,9        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 9,0 | 4,4        = PLAYER_WIN | (BET) BANKER_WIN
                                            (6,7)3,J | 6,0        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (3,8)1,5 | (9,4)3,8   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (J,2)2,2 | 9,6        = BANKER_WIN | (BET) PLAYER_WIN
                                                 6,0 | 0,9        = BANKER_WIN | (BET) PLAYER_WIN
                                           (10,2)2,A | (10,4)4,K  = BANKER_WIN | (BET) PLAYER_WIN
                                            (4,9)3,A | (10,Q)0,A  = PLAYER_WIN | (BET) BANKER_WIN
                                            (5,6)1,9 | 7,9        = BANKER_WIN | (BET) PLAYER_WIN
                                            (A,3)4,2 | (2,J)2,Q   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (K,3)3,J | (J,K)0,7   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (8,3)1,Q | 5,0        = BANKER_WIN | (BET) PLAYER_WIN
                                            (J,3)3,5 | 0,3        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (5,J)5,8 | (Q,2)2,3   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                           (6,6)2,10 | (10,K)0,7  = BANKER_WIN | (BET) TIE       
                                                 5,0 | 1,8        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 4,3 | 0,7        = TIE        | (BET) PLAYER_WIN
                                           (8,2)0,10 | (J,K)0,7   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (K,Q)0,J | (Q,Q)0,4   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 0,9 | 0,4        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (3,Q)3,6 | 3,4        = PLAYER_WIN | (BET) BANKER_WIN
                                                 5,4 | 8,8        = PLAYER_WIN | (BET) BANKER_WIN
                                            (3,7)0,6 | 8,9        = BANKER_WIN | (BET) PLAYER_WIN
                                            (4,7)1,A | (Q,4)4,J   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 6,1 | 7,1        = BANKER_WIN | (BET) PLAYER_WIN

                                          =============================================

                                                TIE_COUNT:925(9.25%)
                                                TIE_SWITCH_COUNT:476(4.76%)
                                                BANKER_WIN_COUNT:4537(45.37%)
                                                PLAYER_WIN_COUNT:4537(45.37%)

                                                BET_WIN_COUNT:4253(42.53%)
